CT,DICE_panc,DICE_kidn,DICE_livr,CONF_panc,CONF_kidn,CONF_livr,Entropy_GT,Entropy_Pred,Hausdorff_1,Hausdorff_2,Hausdorff_3,ECE_1,ECE_2,ECE_3,ACE_1,ACE_2,ACE_3,AUROC_panc,AUROC_kidn,AUROC_livr,AURC_panc,AURC_kidn,AURC_livr,EAURC_panc,EAURC_kidn,EAURC_livr,CRPS_panc,CRPS_kidn,CRPS_livr,NCC_GT1-2,NCC_GT1-3,NCC_GT2-3,NCC_mean,Patient_ID
anno1_init445566_foldall,0.8832029104232788,0.9691618084907532,0.9621400833129884,0.9674673164054184,0.9866472864305252,0.986080168368062,0.3304839981494747,0.3230970228875768,17.46424919657298,19.026297590440446,19.849433241279208,0.0027168532833456,0.0034241289831697,0.0039200810715556,0.0631783222407703,0.0859913171391473,0.0953516238291425,0.6364867467826125,0.7939938652114197,0.9069858200404584,0.0997760346809812,0.1190269944520503,0.0218482219170792,0.0965035663965054,0.1164631064826926,0.0216517539604401,8051.75846848499,20457.93871301288,81810.55244532082,0.979107349802316,0.9766469268772104,0.989420706918294,0.9817249945326068,UKCHLL003
anno3_init112233_foldall,0.7273708581924438,0.979075014591217,0.9144160747528076,0.936862118935096,0.9949679838609882,0.9532787578064016,0.3304839981494747,0.3210826270986064,332.65146925874234,331.70167319445346,331.70167319445346,0.0052720597013831,0.0054327715188264,0.0059671150520443,0.0733536156472074,0.0836840339912473,0.0547251950526802,0.5679038013469367,0.724945388827564,0.8985129074580851,0.0879844132635041,0.1019700879365012,0.0283188236816515,0.0846968367194482,0.099345321194513,0.0279910074319476,10868.451447839228,30683.72802857303,131881.16793295054,0.979107349802316,0.9766469268772104,0.989420706918294,0.9817249945326068,UKCHLL003
anno2_init778899_foldall,0.9352260828018188,0.9797433614730836,0.9777474999427797,0.9812027007319556,0.9940500683660504,0.9901829452137464,0.3304839981494747,0.3319629764264988,27.09243436828813,27.748873851023216,29.49576240750525,0.0038807417731732,0.0029099630191922,0.0035175834782421,0.0752342017680593,0.0632042208116705,0.081102242354253,0.6080242123306906,0.8431255861877666,0.9003216447221029,0.090606717451496,0.1286181006873962,0.0180479371233865,0.0873278206172729,0.1260638911495077,0.0178468428532959,1784.423247399386,2487.011330066609,9534.882423753505,0.979107349802316,0.9766469268772104,0.989420706918294,0.9817249945326068,UKCHLL003
ensemble_anno3,0.6284563541412354,0.913303792476654,0.9502900838851928,0.8594695033243624,0.9684879264095798,0.9796139101381414,0.2942089021609763,0.2862404282012945,38.84584919911006,39.01281840626232,38.84584919911006,0.003158722538501,0.0031414746772497,0.0035130011383444,0.0548108622250026,0.0494173766267616,0.0607436799418099,0.488942492520154,0.6237468868730277,0.929547663583634,0.0577549644031168,0.0694119078076466,0.0286447726152958,0.0555282270598848,0.0674804599807164,0.028469654814433,21758.22709942832,6426.5746007779135,23964.981113636364,0.9824305299321552,0.9945333983663512,0.9790538363413964,0.9853392548799677,UKCHLL005
ensemble_all,0.6466274857521057,0.9013220071792604,0.9517950415611268,0.8615709958976367,0.959701776257134,0.9816164650837892,0.2942089021609763,0.2837212465684476,34.48187929913333,34.92849839314596,34.48187929913333,0.0030830192845314,0.0032557919621467,0.0035588629543781,0.0749693543544517,0.0720501177596005,0.0838725947022471,0.4992358782949104,0.6871450722972658,0.9232116275752572,0.0602028324588405,0.0795820358765253,0.026216847319082,0.057980899634476,0.0776483442594848,0.0260493942836868,21758.22709942832,6426.5746007779135,27029.343398409525,0.9824305299321552,0.9945333983663512,0.9790538363413964,0.9853392548799677,UKCHLL005
ensemble_anno1,0.6756993532180786,0.9086920619010924,0.9548996686935424,0.8568681040342199,0.9629740419295558,0.9814884383813478,0.2942089021609763,0.280067206847519,28.39013913315678,28.53068523537421,28.39013913315678,0.0031891032122075,0.0034237918443977,0.0036708363331854,0.0771192163480608,0.0804702101597451,0.0831649245462132,0.5564932877904647,0.7660445873422741,0.9189437028991472,0.0700655068992722,0.0974037392944954,0.0256391618534143,0.0678462242014423,0.0954805471170531,0.0254836795333022,21758.22709942832,6426.5746007779135,28561.84591731954,0.9824305299321552,0.9945333983663512,0.9790538363413964,0.9853392548799677,UKCHLL005
ensemble_anno2,0.616582453250885,0.85507732629776,0.9447659850120544,0.8683755878882948,0.9476424364474952,0.9837470140773804,0.2942089021609763,0.2845435073803439,34.52535300326414,34.07345007480164,34.52535300326414,0.0043094824068248,0.0043497728183865,0.0046129603870213,0.1006957299762992,0.0982528424460901,0.1030945692867274,0.5108839349216874,0.7265762282124593,0.9177252175928104,0.0635458451755544,0.0898061829763774,0.0246514664463397,0.0613264691276242,0.0878602626844144,0.0244837604269973,21758.22709942832,6426.5746007779135,2904.317956947672,0.9824305299321552,0.9945333983663512,0.9790538363413964,0.9853392548799677,UKCHLL005
anno3_init445566_foldall,0.634600043296814,0.9108299016952516,0.951016128063202,0.8686802812444512,0.9737306424358394,0.9822835036320612,0.2942089021609763,0.2883569878004705,371.3233092602725,371.0822011360825,371.3233092602725,0.0033884071744978,0.003237853758037,0.003674573963508,0.0696390238664581,0.06879043733953,0.1084766097545476,0.5700820572677149,0.7119784941601781,0.9423007968907796,0.0682506270325872,0.0837646698235502,0.0299590859500402,0.0660308167937675,0.0818346322230332,0.0297923461089401,21758.22709942832,1098.9054551066672,10230.04479668626,0.9824305299321552,0.9945333983663512,0.9790538363413964,0.9853392548799677,UKCHLL005
anno2_init112233_foldall,0.6757760047912598,0.8703644871711731,0.9470093250274658,0.8651301418285584,0.9580201571297948,0.9813402521540412,0.2942089021609763,0.2846217744061893,371.4902421329529,371.2492424234695,371.4902421329529,0.0046706390567123,0.0044970298185944,0.0049068233929574,0.1175837536892814,0.1078477513817993,0.1229805797115379,0.5416969925489282,0.6854752142226173,0.9350398340154376,0.0727182806720243,0.0807317326895987,0.0295581634485571,0.0704942390011418,0.078795335048887,0.0293950949153929,21758.22709942832,6426.5746007779135,24364.59483504942,0.9824305299321552,0.9945333983663512,0.9790538363413964,0.9853392548799677,UKCHLL005
anno1_init112233_foldall,0.722842812538147,0.9072374105453492,0.954465925693512,0.8702606298393221,0.9626577025956068,0.9801255049824248,0.2942089021609763,0.2804358884372689,28.89636655359978,28.930952282978865,28.89636655359978,0.0031282370910048,0.0031425752677023,0.0035652015358209,0.0806880870786821,0.0859842447983864,0.0864850682539558,0.6139895581569014,0.7385601237286357,0.911587455555828,0.0758366814678114,0.0960967241734407,0.0240119008475854,0.0736219126990209,0.094172868570387,0.0238547201461452,21758.22709942832,6426.5746007779135,28561.84591731954,0.9824305299321552,0.9945333983663512,0.9790538363413964,0.9853392548799677,UKCHLL005
